Model,Prix,Annee,Kilometrage,Boite_Vitesse,Energie,Controle_Technique,Premiere Main,Portes,Places,Puissance
,12940,2020,132479,Manuelle,Diesel,Non requis,Non,4,2,5
OPEL INSIGNIA II SPORTS TOURER phase 2,28300,2022,75701,Automatique,Diesel,Non requis,Non,5,5,9
PEUGEOT 5008 II,30760,2020,102133,Manuelle,Diesel,Non requis,Oui,5,7,6
VOLKSWAGEN GOLF VIII,31480,2022,30975,Automatique,Hybrides,Non requis,Oui,5,5,8
CITROEN C3 AIRCROSS,16810,2020,57814,Manuelle,Essence,Non requis,Oui,5,5,5
NISSAN JUKE II,31430,2024,3339,Manuelle,Essence,Non requis,Oui,5,5,6
,31430,2024,3339,Manuelle,Essence,Non requis,Oui,5,5,6
NISSAN QASHQAI II phase 2,24960,2021,46620,Automatique,Essence,Non requis,Non,5,5,8
RENAULT SCENIC IV,19150,2019,91108,Automatique,Essence,Requis,Oui,5,5,7
RENAULT SCENIC IV,20410,2020,54045,Automatique,Essence,Non requis,Non,5,5,7
FORD C-MAX II phase 2,15910,2019,92802,Manuelle,Essence,Non requis,Non,5,5,7
RENAULT TRAFIC III phase 2,43950,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,7
VOLKSWAGEN POLO 6,22560,2022,22663,Automatique,Essence,Non requis,Non,5,3,5
RENAULT SCENIC IV,20770,2020,66620,Manuelle,Essence,Non requis,Oui,5,5,8
MERCEDES CLASSE A IV,30850,2021,32508,Manuelle,Essence,Non requis,Non,5,5,7
PEUGEOT 3008 II,22030,2019,104864,Automatique,Diesel,Requis,Non,5,5,6
CITROEN C3 AIRCROSS,16220,2020,71656,Manuelle,Essence,Non requis,Non,5,5,5
SEAT ATECA,29260,2019,87850,Manuelle,Diesel,Requis,Oui,5,5,8
,29260,2019,87850,Manuelle,Diesel,Requis,Oui,5,5,8
MERCEDES-AMG GT ROADSTER,153250,2019,19980,Automatique,Essence,Requis,Non,2,2,47
NISSAN MICRA V phase 2,18730,2023,9648,Manuelle,Essence,Non requis,Oui,5,5,5
VOLKSWAGEN POLO VI,21640,2020,61443,Automatique,Essence,Non requis,Oui,5,5,6
PEUGEOT 208 II,21440,2021,53142,Manuelle,Essence,Non requis,Oui,5,5,5
FIAT 500 III,31060,2024,113,Automatique,Électrique,Non requis,Non,3,4,3
,31060,2024,113,Automatique,Électrique,Non requis,Non,3,4,3
CITROEN C3 III,12580,2020,153011,Manuelle,Diesel,Non requis,Oui,5,5,5
CITROEN GRAND C4 SPACETOURER,35820,2022,44261,Automatique,Essence,Non requis,Non,5,7,7
FORD FOCUS IV,19530,2020,93324,Manuelle,Essence,Non requis,Oui,5,5,6
AUDI RS6 IV AVANT,132480,2021,76137,Automatique,Essence,Non requis,Oui,5,5,53
FORD ECOSPORT phase 2,21660,2021,7789,Manuelle,Essence,Non requis,Oui,5,5,6
PEUGEOT 208 phase 2,13730,2020,151954,Manuelle,Diesel,Non requis,Oui,5,5,5
RENAULT MEGANE IV,17800,2021,70632,Manuelle,Diesel,Non requis,Oui,5,5,6
PEUGEOT 2008 II,29140,2022,77066,Automatique,Diesel,Non requis,Non,5,5,7
NISSAN LEAF II,21260,2021,28000,Automatique,Électrique,Non requis,Non,5,5,4
AUDI A3 IV SPORTBACK,41010,2022,22760,Automatique,Hybrides,Non requis,Oui,5,5,8
MAN TGE,50860,2021,47287,Automatique,Diesel,Non requis,Non,4,3,7
,50860,2021,47287,Automatique,Diesel,Non requis,Non,4,3,7
DS 7 CROSSBACK,38470,2020,54324,Automatique,Essence,Non requis,Non,5,5,9
RENAULT KADJAR phase 2,23780,2020,62658,Automatique,Diesel,Non requis,Oui,5,5,6
PEUGEOT 208 II,31330,2023,10702,Manuelle,Essence,Non requis,Oui,5,5,5
FIAT 500 C III,18340,2022,39467,Manuelle,Essence,Non requis,Oui,3,4,4
CITROEN C3 AIRCROSS,19020,2019,61701,Automatique,Essence,Non requis,Non,5,5,6
,19020,2019,61701,Automatique,Essence,Non requis,Non,5,5,6
RENAULT MASTER III phase 2,42710,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,8
FIAT 500 III,25180,2022,28532,Automatique,Électrique,Non requis,Non,3,4,3
CITROEN C3 III phase 2,19660,2022,41731,Manuelle,Essence,Non requis,Non,5,5,4
VOLKSWAGEN PASSAT VIII SW phase 2,28870,2021,56929,Automatique,Diesel,Non requis,Non,5,5,8
RENAULT MEGANE IV SOCIETE,12980,2020,79486,Manuelle,Diesel,Non requis,Oui,5,2,5
MERCEDES GLA phase 2,31590,2020,78362,Automatique,Diesel,Non requis,Oui,5,5,7
VOLKSWAGEN TRANSPORTER V,33040,2020,89861,Manuelle,Diesel,Non requis,Non,4,3,7
FORD PUMA II,24380,2021,33137,Manuelle,Essence,Non requis,Non,5,5,6
VOLKSWAGEN ID. BUZZ,74780,2024,11,Automatique,Électrique,Non requis,Oui,5,5,5
PEUGEOT 208 (2E GENERATION),23830,2024,11,Manuelle,Essence,Non requis,Non,5,5,5
RENAULT CLIO 4,12620,2020,93589,Manuelle,Essence,Non requis,Non,5,5,4
,12620,2020,93589,Manuelle,Essence,Non requis,Non,5,5,4
CUPRA FORMENTOR,46450,2023,21000,Automatique,Hybrides,Non requis,Non,5,5,8
PEUGEOT 3008 II phase 2,39980,2023,11303,Automatique,Diesel,Non requis,Non,5,5,7
HYUNDAI TUCSON III phase 2,33230,2021,79649,Automatique,Diesel,Non requis,Non,5,5,7
PEUGEOT BOXER II phase 2,21860,2019,83475,Manuelle,Diesel,Requis,Oui,4,3,7
CITROEN GRAND C4 SPACETOURER,30220,2022,29476,Manuelle,Diesel,Non requis,Non,5,7,7
,30220,2022,29476,Manuelle,Diesel,Non requis,Non,5,7,7
CITROEN BERLINGO III VAN,19460,2022,10560,Manuelle,Diesel,Non requis,Oui,4,3,5
PEUGEOT 308 III,33570,2024,1,Automatique,Essence,Non requis,Oui,4,5,7
OPEL GRANDLAND phase 2,41260,2024,2986,Manuelle,Essence,Non requis,Non,5,5,7
OPEL MOKKA 2,31290,2022,9048,Automatique,Essence,Non requis,Oui,5,5,7
PORSCHE 911 TYPE 991 TARGA phase 2,194760,2020,40208,Automatique,Essence,Non requis,Non,2,4,34
DS 3 (2E GENERATION),30720,2023,9055,Manuelle,Essence,Non requis,Non,5,5,5
AUDI A4 V AVANT,30620,2019,125134,Automatique,Diesel,Requis,Non,5,5,8
VOLKSWAGEN T-CROSS,26610,2023,16095,Manuelle,Essence,Non requis,Oui,5,5,6
SEAT IBIZA V,24360,2020,35392,Manuelle,Essence,Non requis,Oui,5,5,6
MERCEDES GLC phase 2,72060,2020,35392,Manuelle,Essence,Non requis,Oui,5,5,11
FERRARI 812 SUPERFAST,430700,2019,21476,Automatique,Essence,Requis,Non,2,2,81
,430700,2019,21476,Automatique,Essence,Requis,Non,2,2,81
KIA XCEED phase 2,41000,2023,7248,Manuelle,Diesel,Non requis,Non,5,5,7
PEUGEOT 308 (3E GENERATION),30490,2023,20143,Manuelle,Essence,Non requis,Non,5,5,7
SKODA KODIAQ phase 2,47860,2024,17,Automatique,Essence,Non requis,Oui,5,5,8
MAZDA MX5 IV ST,28540,2022,39928,Manuelle,Essence,Non requis,Oui,2,2,7
PEUGEOT 508 II SW,37150,2021,50831,Automatique,Hybrides,Non requis,Oui,5,5,8
,37150,2021,50831,Automatique,Hybrides,Non requis,Oui,5,5,8
RENAULT ARKANA,35500,2023,3233,Automatique,Essence,Non requis,Oui,5,5,8
VOLKSWAGEN TIGUAN 2,37100,2020,75321,Automatique,Diesel,Non requis,Oui,5,5,11
SEAT IBIZA V,19690,2021,37379,Manuelle,Diesel,Non requis,Non,5,5,5
AUDI A1 II SPORTBACK,21780,2020,83797,Manuelle,Essence,Non requis,Non,5,5,5
FIAT 500 (3E GENERATION),18000,2024,11,Manuelle,Hybrides,Non requis,Non,3,5,4
FORD RANGER III phase 2,33330,2020,72526,Manuelle,Diesel,Non requis,Non,2,4,7
PEUGEOT 308 II phase 2,18970,2022,52243,Manuelle,Essence,Non requis,Non,5,5,7
NISSAN QASHQAI 3,36210,2023,36486,Manuelle,Hybrides,Non requis,Non,5,5,7
BMW SERIE 1 F40,34670,2022,31458,Automatique,Diesel,Non requis,Oui,5,5,8
TOYOTA YARIS III phase 3,15940,2019,61841,Automatique,Hybrides,Non requis,Non,5,5,3
VOLKSWAGEN GOLF VII R phase 2,45080,2020,36725,Automatique,Essence,Non requis,Non,5,5,19
,45080,2020,36725,Automatique,Essence,Non requis,Non,5,5,19
FORD KUGA III,27960,2021,93596,Automatique,Diesel,Non requis,Oui,5,5,10
PORSCHE TAYCAN,104920,2022,46126,Automatique,Électrique,Non requis,Oui,4,5,9
DS 7 CROSSBACK,38130,2021,85950,Automatique,Diesel,Non requis,Oui,5,5,9
DACIA DUSTER II phase 2,25970,2022,21236,Manuelle,Diesel,Non requis,Non,5,5,6
OPEL MOKKA II,26890,2022,23289,Manuelle,Diesel,Non requis,Oui,5,5,6
,26890,2022,23289,Manuelle,Diesel,Non requis,Oui,5,5,6
AUDI Q3 II,35620,2020,72759,Automatique,Diesel,Non requis,Oui,5,5,8
VOLKSWAGEN GOLF VII phase 2,16370,2020,135035,Manuelle,Essence,Non requis,Oui,5,5,6
MAZDA CX-5 II phase 2,33460,2020,86268,Automatique,Diesel,Non requis,Non,5,5,10
PEUGEOT 3008 II phase 2,40710,2021,42832,Automatique,Hybrides,Non requis,Oui,5,5,10
HYUNDAI I20 III,21980,2022,36849,Manuelle,Essence,Non requis,Non,5,5,5
FORD RANGER III phase 2,39940,2020,27000,Automatique,Diesel,Non requis,Non,2,4,11
AUDI S3 III SPORTBACK phase 2,41670,2020,64657,Automatique,Essence,Non requis,Oui,5,5,19
PORSCHE 911 TYPE 992,204810,2021,23969,Automatique,Essence,Non requis,Non,2,4,34
FIAT 500 II phase 2,16050,2022,53824,Manuelle,Essence,Non requis,Oui,3,4,4
RENAULT ESPACE V,26640,2020,83653,Automatique,Diesel,Non requis,Oui,5,7,9
AUDI SQ2,39200,2020,58194,Automatique,Essence,Non requis,Non,5,5,19
,39200,2020,58194,Automatique,Essence,Non requis,Non,5,5,19
JEEP COMPASS II,21260,2019,54103,Manuelle,Essence,Non requis,Non,5,5,8
VOLVO XC40,39040,2019,62000,Automatique,Diesel,Requis,Non,5,5,10
AUDI A5 II,51240,2021,41875,Automatique,Diesel,Non requis,Oui,2,4,10
PEUGEOT E-2008 II,37270,2024,1130,Automatique,Électrique,Non requis,Oui,4,5,4
AUDI A1 II SPORTBACK,26160,2021,72319,Automatique,Essence,Non requis,Oui,5,5,5
,26160,2021,72319,Automatique,Essence,Non requis,Oui,5,5,5
PEUGEOT 5008 II,27700,2019,111163,Manuelle,Diesel,Requis,Oui,5,7,6
VOLKSWAGEN PASSAT 8 SW,24840,2019,112333,Manuelle,Diesel,Non requis,Oui,5,5,7
DACIA DUSTER II phase 2,20520,2020,40210,Manuelle,Essence,Non requis,Non,5,5,7
FORD PUMA 2,27080,2022,47482,Automatique,Hybrides,Non requis,Non,5,5,6
MASERATI GRANCABRIO,170980,2020,51653,Automatique,Essence,Non requis,Oui,2,4,38
MINI COUNTRYMAN 2,28010,2019,57795,Manuelle,Essence,Non requis,Non,5,4,7
MERCEDES CLASSE C IV SW,36870,2019,82110,Automatique,Essence,Non requis,Non,5,5,11
AUDI A1 II SPORTBACK,24760,2021,28817,Manuelle,Essence,Non requis,Oui,5,5,5
BMW SERIE 1 F40,39660,2022,74957,Automatique,Diesel,Non requis,Non,5,5,7
PORSCHE 911 TYPE 991 GT3 RS phase 2,280690,2019,15120,Automatique,Essence,Requis,Non,2,2,44
CITROEN GRAND C4 SPACETOURER,21420,2020,78595,Automatique,Essence,Non requis,Oui,5,7,7
,21420,2020,78595,Automatique,Essence,Non requis,Oui,5,7,7
OPEL CORSA VI,19840,2022,79940,Automatique,Essence,Non requis,Oui,5,5,7
AUDI Q3 II,28500,2020,36433,Manuelle,Essence,Non requis,Oui,5,5,8
PEUGEOT RIFTER,30610,2019,57500,Manuelle,Diesel,Requis,Non,5,5,7
PEUGEOT 3008 II,20250,2020,119293,Manuelle,Essence,Non requis,Oui,5,5,7
PEUGEOT 308 III,47020,2024,1616,Automatique,Hybrides,Non requis,Oui,4,5,8
,47020,2024,1616,Automatique,Hybrides,Non requis,Oui,4,5,8
VOLVO XC60 II,53330,2020,58807,Automatique,Hybrides,Non requis,Non,5,5,17
VOLKSWAGEN T-ROC phase 2,47470,2023,12488,Automatique,Diesel,Non requis,Non,5,5,8
MERCEDES SPRINTER III,35580,2021,144152,Automatique,Diesel,Non requis,Non,4,3,6
MINI III CABRIOLET,23650,2020,37600,Manuelle,Essence,Non requis,Non,2,4,5
AUDI A3 IV SPORTBACK,43980,2022,29150,Automatique,Hybrides,Non requis,Oui,5,5,8
CITROEN C5 AIRCROSS,37360,2022,11,Automatique,Hybrides,Non requis,Oui,5,5,10
PEUGEOT 508 II SW,39160,2023,149,Automatique,Essence,Non requis,Oui,5,5,7
PEUGEOT 208 II,20750,2022,23228,Manuelle,Essence,Non requis,Oui,5,5,5
LAND ROVER RANGE ROVER IV phase 2,90600,2020,100184,Automatique,Hybrides,Non requis,Oui,5,5,17
VOLKSWAGEN GOLF VII SW phase 2,28060,2022,60309,Automatique,Diesel,Non requis,Non,5,5,8
CITROEN C4 III,29770,2023,27479,Automatique,Diesel,Non requis,Non,5,5,7
,29770,2023,27479,Automatique,Diesel,Non requis,Non,5,5,7
DS 7 CROSSBACK,41400,2021,82067,Automatique,Hybrides,Non requis,Non,5,5,9
DS 4 II,41050,2023,32126,Automatique,Diesel,Non requis,Oui,5,5,7
OPEL CROSSLAND phase 2,17810,2022,107303,Manuelle,Diesel,Non requis,Oui,5,5,6
PEUGEOT 308 (3E GENERATION),32380,2023,21391,Manuelle,Essence,Non requis,Non,5,5,7
PEUGEOT 2008 II,32840,2022,31760,Automatique,Essence,Non requis,Non,5,5,7
,32840,2022,31760,Automatique,Essence,Non requis,Non,5,5,7
NISSAN QASHQAI II phase 2,21980,2021,66880,Manuelle,Diesel,Non requis,Non,5,5,6
RENAULT CLIO V,16970,2021,33369,Manuelle,Essence,Non requis,Non,5,5,5
RENAULT CAPTUR phase 2,15120,2020,88201,Manuelle,Diesel,Non requis,Oui,5,5,5
BMW X1 F48 phase 2,33580,2020,74297,Automatique,Diesel,Non requis,Oui,5,5,8
PEUGEOT 208 (2E GENERATION),26690,2023,24902,Automatique,Essence,Non requis,Non,5,5,7
SEAT LEON IV ST,36520,2022,34925,Automatique,Hybrides,Non requis,Non,5,2,8
JEEP RENEGADE,36550,2023,117,Manuelle,Diesel,Non requis,Non,5,2,7
DS 3 CROSSBACK,24840,2021,27903,Manuelle,Diesel,Non requis,Non,5,5,5
RENAULT CLIO 5,24920,2024,12,Manuelle,Essence,Non requis,Non,5,5,5
JEEP WRANGLER IV,104420,2022,19311,Automatique,Hybrides,Non requis,Non,4,5,16
PEUGEOT 2008 II,26980,2021,9933,Automatique,Essence,Non requis,Oui,5,5,7
,26980,2021,9933,Automatique,Essence,Non requis,Oui,5,5,7
PEUGEOT 308 III,36520,2024,10107,Automatique,Diesel,Non requis,Oui,5,5,7
JAGUAR F-TYPE phase 2,81480,2019,15600,Automatique,Essence,Requis,Non,2,2,19
DACIA DUSTER 2,18820,2023,12433,Manuelle,Essence,Non requis,Non,5,2,5
PEUGEOT 208 AFFAIRE phase 2,13780,2019,15542,Manuelle,Essence,Non requis,Oui,5,2,4
PEUGEOT 308 III,38920,2023,12,Automatique,Diesel,Non requis,Non,5,5,7
,38920,2023,12,Automatique,Diesel,Non requis,Non,5,5,7
PEUGEOT 208 phase 2,14830,2020,105657,Automatique,Essence,Non requis,Oui,5,5,6
CITROEN C5 AIRCROSS,26760,2020,58867,Automatique,Essence,Non requis,Oui,5,5,10
RENAULT CLIO IV phase 2,15740,2020,67375,Manuelle,Essence,Non requis,Oui,5,5,5
MERCEDES SPRINTER 3,42130,2019,98307,Manuelle,Diesel,Requis,Non,5,5,6
HYUNDAI IONIQ V,41790,2022,33957,Automatique,Électrique,Non requis,Oui,5,5,4
FORD F150,61030,2020,128618,Automatique,Bicarburation essence bioéthanol,Non requis,Oui,4,5,28
LAND ROVER DISCOVERY SPORT phase 2,69320,2023,13507,Automatique,Hybrides,Non requis,Oui,5,5,11
VOLVO XC90 II phase 2,49270,2023,13507,Automatique,Hybrides,Non requis,Non,5,7,14
PORSCHE MACAN phase 2,60250,2019,79581,Automatique,Essence,Requis,Non,5,5,16
PEUGEOT 2008 II,30480,2020,33051,Automatique,Essence,Non requis,Non,5,5,8
OPEL MOKKA II,30440,2023,794,Manuelle,Essence,Non requis,Oui,5,5,7
,30440,2023,794,Manuelle,Essence,Non requis,Oui,5,5,7
BMW X2 F39,52860,2020,61453,Automatique,Essence,Non requis,Oui,5,5,19
PEUGEOT 308 II SW phase 2,16830,2020,92783,Automatique,Diesel,Non requis,Non,5,5,6
RENAULT TRAFIC III phase 2,37490,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,7
PORSCHE CAYENNE III,130410,2021,60878,Automatique,Hybrides,Non requis,Non,5,5,22
CITROEN C5 AIRCROSS phase 2,34460,2023,5666,Automatique,Diesel,Non requis,Oui,5,5,7
,34460,2023,5666,Automatique,Diesel,Non requis,Oui,5,5,7
MASERATI LEVANTE,78720,2020,67932,Automatique,Essence,Non requis,Oui,5,5,33
SEAT ARONA,28920,2023,12,Automatique,Essence,Non requis,Non,5,5,6
PEUGEOT 5008 II phase 2,44800,2023,6634,Automatique,Diesel,Non requis,Non,5,7,7
DACIA JOGGER,28300,2024,12,Manuelle,Essence,Non requis,Non,5,7,6
CITROEN C3 III,12920,2020,117803,Manuelle,Diesel,Non requis,Oui,5,5,5
CITROEN C5 AIRCROSS,34360,2020,55415,Automatique,Diesel,Non requis,Oui,5,5,6
RENAULT AUSTRAL,50480,2024,12,Automatique,Hybrides,Non requis,Non,5,5,7
PORSCHE 911 TYPE 992 CABRIOLET,246210,2021,11781,Automatique,Essence,Non requis,Non,2,4,34
PEUGEOT 3008 II,22840,2020,63000,Automatique,Essence,Non requis,Oui,5,5,7
MERCEDES GLC,45610,2019,60489,Automatique,Diesel,Non requis,Non,5,5,11
PEUGEOT 308 III SW,37080,2022,9943,Automatique,Diesel,Non requis,Non,5,5,7
,37080,2022,9943,Automatique,Diesel,Non requis,Non,5,5,7
NISSAN QASHQAI III,41460,2023,9760,Manuelle,Essence,Non requis,Oui,5,5,7
MINI COUNTRYMAN II,42360,2021,38706,Automatique,Essence,Non requis,Oui,5,5,11
RENAULT MEGANE IV phase 2,19790,2023,42861,Automatique,Diesel,Non requis,Oui,5,5,6
DACIA JOGGER,27180,2024,11,Manuelle,Bicarburation essence / gpl,Non requis,Non,5,7,5
OPEL ZAFIRA III phase 2,13360,2019,164189,Manuelle,Diesel,Requis,Non,5,7,7
,13360,2019,164189,Manuelle,Diesel,Requis,Non,5,7,7
MAZDA MX5 IV ST,24970,2020,41953,Manuelle,Essence,Non requis,Oui,2,2,7
OPEL GRANDLAND phase 2,57180,2023,6050,Automatique,Hybrides,Non requis,Oui,5,5,11
DODGE CHALLENGER 2,116880,2020,12285,Automatique,Essence,Non requis,Non,3,5,35
PEUGEOT 3008 II,27150,2019,118191,Manuelle,Diesel,Requis,Non,5,5,8
RENAULT KADJAR phase 2,23740,2020,32448,Manuelle,Essence,Non requis,Oui,5,5,8
AUDI Q2 phase 2,35680,2022,32519,Manuelle,Essence,Non requis,Oui,5,5,8
VOLKSWAGEN T-ROC,28300,2022,28220,Manuelle,Diesel,Non requis,Oui,5,5,6
PORSCHE CAYENNE III COUPE,132130,2020,36110,Automatique,Hybrides,Non requis,Non,5,5,20
MERCEDES CLASSE C IV,25640,2020,52960,Manuelle,Diesel,Non requis,Oui,4,5,6
PORSCHE 911 TYPE 992 TARGA,272120,2022,8712,Automatique,Essence,Non requis,Non,2,4,34
OPEL INSIGNIA II GRAND SPORT,23190,2020,31369,Automatique,Diesel,Non requis,Oui,5,5,7
,23190,2020,31369,Automatique,Diesel,Non requis,Oui,5,5,7
CITROEN C3 AIRCROSS phase 2,25780,2023,18071,Manuelle,Essence,Non requis,Non,5,5,6
FIAT 500 X phase 2,15420,2020,80343,Manuelle,Essence,Non requis,Non,5,5,6
AUDI Q8,106980,2021,6206,Automatique,Hybrides,Non requis,Oui,5,5,22
PEUGEOT 208 II,25860,2022,26680,Automatique,Essence,Non requis,Oui,5,5,5
AUDI RS6 IV AVANT,149930,2021,38556,Automatique,Essence,Non requis,Non,5,5,52
,149930,2021,38556,Automatique,Essence,Non requis,Non,5,5,52
FIAT 500 II phase 2,12400,2019,36070,Manuelle,Essence,Requis,Oui,3,4,4
RENAULT CLIO V,32160,2024,6,Manuelle,Essence,Non requis,Oui,5,5,5
DACIA DUSTER II phase 2,20100,2021,49165,Manuelle,Diesel,Non requis,Non,5,5,6
FIAT 500 X phase 2,25400,2022,34002,Manuelle,Essence,Non requis,Oui,5,5,6
MAZDA MX5 IV ST phase 2,28300,2020,39580,Manuelle,Essence,Non requis,Non,2,2,10
VOLKSWAGEN GOLF VIII,25690,2023,27972,Automatique,Essence,Non requis,Oui,5,5,6
VOLKSWAGEN GOLF VIII,34530,2023,27155,Automatique,Essence,Non requis,Non,5,5,8
CITROEN C3 III phase 2,20320,2023,25029,Manuelle,Essence,Non requis,Non,5,5,4
VOLKSWAGEN GOLF 7,25160,2020,75972,Manuelle,Essence,Non requis,Non,5,5,7
VOLKSWAGEN T-CROSS,27550,2023,19888,Manuelle,Essence,Non requis,Oui,5,5,6
BMW SERIE 1 F40,37480,2021,66073,Automatique,Essence,Non requis,Non,5,5,7
,37480,2021,66073,Automatique,Essence,Non requis,Non,5,5,7
JAGUAR E-PACE,25210,2020,95389,Manuelle,Diesel,Non requis,Oui,5,5,8
AUDI RS3 II SPORTBACK phase 2,56050,2020,71280,Automatique,Essence,Non requis,Oui,5,5,29
SUZUKI IGNIS III phase 2,21450,2023,261,Automatique,Essence,Non requis,Non,5,4,4
VOLKSWAGEN POLO 6,19530,2019,29417,Manuelle,Diesel,Non requis,Oui,5,5,4
BMW X2 F39,25900,2019,102478,Automatique,Diesel,Non requis,Oui,5,5,8
,25900,2019,102478,Automatique,Diesel,Non requis,Oui,5,5,8
RENAULT MEGANE IV RS,49150,2020,50400,Automatique,Essence,Non requis,Non,5,5,19
CITROEN C3 AIRCROSS,27040,2022,25626,Manuelle,Essence,Non requis,Non,5,5,6
MAZDA MX5 IV ST,33710,2020,16839,Manuelle,Essence,Non requis,Oui,2,2,10
NISSAN X-TRAIL 4,25920,2020,102647,Manuelle,Diesel,Non requis,Non,5,2,8
PORSCHE CAYENNE III COUPE,117580,2021,51856,Automatique,Hybrides,Non requis,Oui,5,5,22
AUDI SQ2 phase 2,48290,2021,59291,Automatique,Essence,Non requis,Non,5,5,19
RENAULT MASTER III phase 2,38490,2024,1,Manuelle,Diesel,Non requis,Oui,4,3,8
VOLKSWAGEN GOLF VIII,29980,2022,58860,Manuelle,Diesel,Non requis,Non,5,5,6
AUDI Q3 II,35620,2021,80662,Automatique,Diesel,Non requis,Non,5,5,8
RENAULT SCENIC IV,15710,2020,110413,Manuelle,Diesel,Non requis,Oui,5,5,6
DACIA DUSTER II,20070,2021,23449,Manuelle,Essence,Non requis,Oui,5,5,5
,20070,2021,23449,Manuelle,Essence,Non requis,Oui,5,5,5
PEUGEOT 2008 II,29410,2023,15334,Manuelle,Diesel,Non requis,Oui,5,5,6
RENAULT CAPTUR 2,27120,2024,11,Manuelle,Essence,Non requis,Non,5,5,5
SEAT ATECA,29410,2022,23625,Manuelle,Diesel,Non requis,Oui,5,5,8
SEAT TARRACO,27080,2020,62055,Manuelle,Essence,Non requis,Non,5,5,8
MAZDA CX-30,24590,2022,49192,Manuelle,Essence,Non requis,Non,5,5,6
,24590,2022,49192,Manuelle,Essence,Non requis,Non,5,5,6
PEUGEOT 308 III,32770,2023,19856,Automatique,Essence,Non requis,Non,5,5,7
BMW SERIE 2 F44 GRAN COUPE,37680,2021,29580,Automatique,Essence,Non requis,Non,4,5,7
OPEL ASTRA V,19020,2020,78971,Manuelle,Diesel,Non requis,Oui,5,5,6
RENAULT TRAFIC III phase 2,40830,2023,12,Manuelle,Diesel,Non requis,Non,4,3,7
VOLKSWAGEN TAIGO,33030,2023,9006,Automatique,Essence,Non requis,Oui,5,5,8
HYUNDAI IONIQ phase 2,24600,2020,32305,Automatique,Hybrides,Non requis,Non,5,5,5
AUDI Q3 II,45960,2023,11,Automatique,Diesel,Non requis,Non,5,5,8
JAGUAR XF II,34780,2019,76680,Automatique,Essence,Non requis,Non,4,5,15
AUDI RS6 IV AVANT,132390,2020,45262,Automatique,Essence,Non requis,Non,5,5,52
CITROEN C3 AIRCROSS phase 2,21510,2023,40856,Manuelle,Diesel,Non requis,Oui,5,5,6
RENAULT CLIO IV phase 2,14470,2020,90663,Manuelle,Essence,Non requis,Oui,5,5,5
,14470,2020,90663,Manuelle,Essence,Non requis,Oui,5,5,5
JEEP COMPASS II,21450,2019,54586,Manuelle,Essence,Non requis,Non,5,5,8
OPEL GRANDLAND,39530,2024,23,Manuelle,Essence,Non requis,Non,5,5,7
BMW SERIE 3 G21 TOURING,29730,2021,254898,Automatique,Diesel,Non requis,Oui,5,5,10
PEUGEOT 208 phase 2,16780,2020,54014,Manuelle,Essence,Non requis,Oui,5,5,4
AUDI Q5 II,39040,2019,78544,Automatique,Diesel,Requis,Oui,5,5,10
,39040,2019,78544,Automatique,Diesel,Requis,Oui,5,5,10
AUDI RS3 III BERLINE phase 2,60480,2020,54617,Automatique,Essence,Non requis,Non,4,5,29
SUZUKI VITARA 4,30050,2024,12,Manuelle,Hybrides,Non requis,Non,5,5,7
RENAULT CAPTUR II,27980,2023,5408,Automatique,Essence,Non requis,Non,5,5,7
AUDI A3 IV SPORTBACK,41350,2022,22948,Automatique,Hybrides,Non requis,Oui,5,5,8
SUZUKI VITARA 4,26710,2023,11,Manuelle,Hybrides,Non requis,Non,5,5,7
RENAULT CAPTUR II,20980,2021,86952,Automatique,Hybrides,Non requis,Oui,5,5,5
VOLKSWAGEN GOLF VIII,25280,2021,66079,Manuelle,Essence,Non requis,Non,5,5,7
PEUGEOT 3008 II phase 2,33610,2023,10830,Manuelle,Essence,Non requis,Non,5,5,7
PEUGEOT 208 (2E GENERATION),20420,2023,16540,Manuelle,Essence,Non requis,Non,5,5,4
PEUGEOT 2008 II,34490,2023,13737,Automatique,Diesel,Non requis,Non,5,5,7
DACIA DUSTER 2,27760,2023,11,Automatique,Essence,Non requis,Non,5,5,8
,27760,2023,11,Automatique,Essence,Non requis,Non,5,5,8
DS DS 7,38480,2023,45100,Automatique,Essence,Non requis,Non,5,5,10
AUDI A3 IV SPORTBACK,36700,2021,66823,Manuelle,Essence,Non requis,Non,5,5,8
VOLVO V60 II,38830,2019,80651,Automatique,Diesel,Requis,Non,5,5,10
FORD FIESTA VI,13780,2020,132547,Manuelle,Diesel,Non requis,Oui,5,5,4
VOLVO V40 (2E GENERATION),19600,2020,64355,Manuelle,Diesel,Non requis,Oui,5,5,6
,19600,2020,64355,Manuelle,Diesel,Non requis,Oui,5,5,6
MERCEDES CLASSE A IV,49480,2021,45859,Automatique,Hybrides,Non requis,Non,5,5,8
FORD FOCUS IV,15790,2021,53151,Manuelle,Essence,Non requis,Oui,5,5,5
MERCEDES CLASSE V II LONG phase 2,74330,2020,55749,Automatique,Diesel,Non requis,Non,5,6,11
JAGUAR F-PACE phase 2,100680,2023,26788,Automatique,Hybrides,Non requis,Non,5,5,19
PEUGEOT 208 (2E GENERATION),19870,2023,1613,Manuelle,Essence,Non requis,Oui,5,5,4
